catboost_weight,xgboost_weight,tabm_weight,validation_pr_auc,validation_roc_auc
0.05,0.95,0.0,0.17366688409731118,0.6544677451934555
0.05,0.39999999999999997,0.55,0.17365925211105052,0.650197250430003
0.65,0.09999999999999999,0.25,0.17365572267928925,0.6563155333565932
0.30000000000000004,0.19999999999999998,0.5,0.17362977181246858,0.652288349829529
0.5,0.1,0.4,0.17362872055731834,0.6543209933219482
0.55,0.049999999999999996,0.39999999999999997,0.17361357070477562,0.6543312460595822
0.25,0.25,0.5,0.1735960513149338,0.6521616443554853
0.15000000000000002,0.35,0.5,0.17352917924835262,0.6517683677029583
0.7000000000000001,0.19999999999999996,0.09999999999999998,0.17352253762601594,0.6573542734022562
0.65,0.0,0.35,0.17350778974342965,0.6549973679539208
0.65,0.35,0.0,0.17350124559125157,0.6575981967423838
0.7000000000000001,0.24999999999999994,0.04999999999999999,0.17349687517456092,0.6575028615849815
0.0,0.9500000000000001,0.04999999999999993,0.17343041212408108,0.6541157855433339
0.5,0.05,0.45,0.17342158432681132,0.6534960305072504
0.6000000000000001,0.0,0.3999999999999999,0.17336870935040724,0.6543058437543995
0.75,0.1,0.15,0.17336829056164482,0.6569443169228321
0.65,0.049999999999999996,0.3,0.17334135225674863,0.6556693048337833
0.55,0.0,0.44999999999999996,0.1733188281882329,0.6534664965018271
0.7000000000000001,0.04999999999999999,0.24999999999999994,0.17330226917543048,0.656200457853597
0.45,0.05,0.5,0.17328376533185816,0.652590729076764
0.75,0.15000000000000002,0.09999999999999998,0.17328251587603066,0.6572584791670493
0.35000000000000003,0.15,0.4999999999999999,0.1732579285668231,0.6524378561678633
0.0,0.45,0.55,0.17323785977068862,0.6498699279553898
0.1,0.4,0.5,0.17319308984167442,0.6514707322597033
0.75,0.2,0.04999999999999999,0.17308956887310992,0.657373095592241
0.75,0.05,0.2,0.17306919437618723,0.6565447662069768
0.4,0.09999999999999999,0.5,0.17306103815766083,0.6525373230255064
0.7000000000000001,0.29999999999999993,0.0,0.17298227083368273,0.6575250503455325
0.75,0.0,0.25,0.17294636767849159,0.6560249371063408
0.0,1.0,0.0,0.17291582578367273,0.6538402623476626
0.30000000000000004,0.15,0.5499999999999999,0.17291230067479038,0.6513480054599653
0.7000000000000001,0.0,0.29999999999999993,0.17289219606909373,0.6555612685237894
0.75,0.25,0.0,0.17287662044197616,0.6574092097128621
0.8,0.14999999999999997,0.04999999999999999,0.17285614144544087,0.6572454719625882
0.25,0.2,0.55,0.17284386567695464,0.6511827374503429
0.8,0.04999999999999999,0.14999999999999997,0.1728196756110159,0.6567562480489193
0.8,0.19999999999999996,0.0,0.17281134429469583,0.6572710272937057
0.8,0.09999999999999998,0.09999999999999998,0.17279194717685278,0.6570730117340288
0.15000000000000002,0.3,0.55,0.17275612194731957,0.6507842579160316
0.5,0.0,0.5,0.17273285192592502,0.6525671630827994
0.2,0.25,0.55,0.1727317164585649,0.6509796720348165
0.1,0.35000000000000003,0.55,0.17270259615452144,0.6505259501380294
0.0,0.4,0.6,0.17265676031460978,0.6488718928083932
0.35000000000000003,0.09999999999999999,0.5499999999999999,0.17261933448359676,0.6514669066113324
0.8500000000000001,0.09999999999999994,0.049999999999999975,0.1726007265939793,0.6570263388239039
0.8500000000000001,0.1499999999999999,0.0,0.17254047005602166,0.6570720935784197
0.8,0.0,0.19999999999999996,0.17254040630354053,0.6563698575634599
0.8500000000000001,0.04999999999999997,0.09999999999999995,0.17246134197782143,0.6568425546761665
0.45,0.0,0.55,0.17241590993478023,0.6515386757747703
0.1,0.30000000000000004,0.6,0.17228723254853018,0.6495086337232434
0.15000000000000002,0.24999999999999997,0.6,0.17221897537892017,0.6497631158528747
0.2,0.2,0.6000000000000001,0.17221644663542718,0.6499533270898752
0.4,0.049999999999999996,0.5499999999999999,0.17211284890926543,0.65152031266259
0.9,0.09999999999999998,0.0,0.1720530614486496,0.6568270990567482
0.25,0.15000000000000002,0.6,0.1720120732903107,0.6501355809782642
0.8500000000000001,0.0,0.1499999999999999,0.17193205362718275,0.6565213532389468
0.9,0.04999999999999999,0.04999999999999999,0.17191666436730066,0.6567580843601374
0.05,0.35,0.6,0.17189567668831943,0.6492183435248606
0.9,0.0,0.09999999999999998,0.17188075876682202,0.6565874604427958
0.30000000000000004,0.09999999999999999,0.6,0.17184057480357276,0.6503003899100819
0.9500000000000001,0.0,0.04999999999999993,0.1716185574545864,0.6564707016545164
0.0,0.35000000000000003,0.6499999999999999,0.17161071155133006,0.6478475372006047
0.15000000000000002,0.19999999999999998,0.65,0.1715982586866991,0.6486997386317034
0.35000000000000003,0.049999999999999996,0.5999999999999999,0.17155437095373688,0.6504046005717048
0.9500000000000001,0.04999999999999993,0.0,0.17150988140279969,0.6565346664952777
0.1,0.25,0.65,0.17145912211477063,0.6484483170207687
