model,split,bin,rows,mean_predicted_probability,observed_positive_rate
DNN temperature-scaled,train,3,3903,0.2387857646713939,0.2713297463489623
DNN temperature-scaled,train,4,910,0.3382491177942029,0.4208791208791209
DNN temperature-scaled,train,5,302,0.4422058122008402,0.4701986754966887
DNN temperature-scaled,train,6,118,0.5455484012181596,0.576271186440678
DNN temperature-scaled,train,7,38,0.6421515213739947,0.7368421052631579
DNN temperature-scaled,train,8,5,0.7491802215434072,0.8
DNN temperature-scaled,train,9,1,0.8107370159479697,1.0
DNN temperature-scaled,validation,1,6480,0.0561666909242259,0.0611111111111111
DNN temperature-scaled,validation,2,2348,0.1366869122656849,0.1137137989778535
DNN temperature-scaled,validation,3,387,0.2378174489918513,0.2015503875968992
DNN temperature-scaled,validation,4,59,0.3302428590588078,0.3050847457627119
DNN temperature-scaled,validation,5,10,0.4365670440044259,0.6
DNN temperature-scaled,validation,6,2,0.5617351032988982,1.0
DNN temperature-scaled,validation,7,1,0.6226238314079228,0.0
DNN temperature-scaled,test,1,7749,0.05539932298094,0.0667182862304813
DNN temperature-scaled,test,2,2595,0.1360661278480813,0.1233140655105973
DNN temperature-scaled,test,3,411,0.2351557555116994,0.2287104622871046
DNN temperature-scaled,test,4,52,0.3362126634676396,0.2692307692307692
DNN temperature-scaled,test,5,10,0.4499120594122482,0.2
DNN temperature-scaled,test,6,4,0.5342460916179571,0.25
DNN temperature-scaled,test,7,1,0.6375430419562353,1.0
FT-Transformer raw,train,1,25360,0.0733157486970559,0.0570583596214511
FT-Transformer raw,train,2,25151,0.1408061000164794,0.1150650073555723
FT-Transformer raw,train,3,7267,0.2512771577781992,0.179854135131416
FT-Transformer raw,train,4,5332,0.3387543168226784,0.2580645161290322
FT-Transformer raw,train,5,402,0.4209029461056151,0.4676616915422885
FT-Transformer raw,validation,1,3842,0.0762903191928439,0.0489328474752732
FT-Transformer raw,validation,2,4082,0.1421868399987966,0.0854973052425281
FT-Transformer raw,validation,3,933,0.2431302999414309,0.1361200428724544
FT-Transformer raw,validation,4,415,0.3346876755736472,0.2313253012048192
FT-Transformer raw,validation,5,15,0.414474761565743,0.4666666666666667
FT-Transformer raw,test,1,4712,0.0766619176486817,0.0543293718166383
FT-Transformer raw,test,2,4678,0.1417045098701406,0.0955536554082941
FT-Transformer raw,test,3,981,0.2444880433142405,0.1508664627930682
FT-Transformer raw,test,4,435,0.3339229980501688,0.2137931034482758
FT-Transformer raw,test,5,16,0.4218015887768908,0.3125
FT-Transformer temperature-scaled,train,1,41882,0.0526778425567231,0.0742084905209875
FT-Transformer temperature-scaled,train,2,12157,0.1332737615661646,0.1508595870691782
FT-Transformer temperature-scaled,train,3,6753,0.2473486095700418,0.2079075966237228
FT-Transformer temperature-scaled,train,4,2570,0.3339015446128645,0.3062256809338521
FT-Transformer temperature-scaled,train,5,150,0.4224364167542214,0.5266666666666666
FT-Transformer temperature-scaled,validation,1,6343,0.0533749925634266,0.0616427557937884
FT-Transformer temperature-scaled,validation,2,2136,0.1308522595050144,0.1058052434456928
FT-Transformer temperature-scaled,validation,3,642,0.2455264750178932,0.1557632398753894
FT-Transformer temperature-scaled,validation,4,163,0.3290358860447165,0.3006134969325153
FT-Transformer temperature-scaled,validation,5,3,0.4198825193247366,0.3333333333333333
FT-Transformer temperature-scaled,test,1,7647,0.0531912083608712,0.0681312933176409
FT-Transformer temperature-scaled,test,2,2308,0.1307720178349052,0.1148180242634315
FT-Transformer temperature-scaled,test,3,697,0.2448322787370051,0.1707317073170731
FT-Transformer temperature-scaled,test,4,164,0.3272867064645203,0.2560975609756097
FT-Transformer temperature-scaled,test,5,6,0.4279228716497944,0.3333333333333333
CatBoost,train,1,36260,0.06991568869127993,0.06254826254826255
CatBoost,train,2,21187,0.13932828544668296,0.14183225562845142
CatBoost,train,3,4795,0.23479141656063482,0.26256517205422314
CatBoost,train,4,821,0.33853557486973695,0.43727161997563946
CatBoost,train,5,225,0.4441939420723375,0.6088888888888889
CatBoost,train,6,122,0.5485543742211579,0.7295081967213115
CatBoost,train,7,82,0.6455593330352295,0.9146341463414634
CatBoost,train,8,16,0.7344533134684461,1.0
CatBoost,train,9,4,0.8183283115249077,1.0
CatBoost,validation,1,5459,0.07208190957607978,0.05550467118519876
CatBoost,validation,2,3271,0.1376909434720337,0.10363803118312442
CatBoost,validation,3,487,0.23314089642580724,0.21149897330595482
CatBoost,validation,4,50,0.33734527561460176,0.3
CatBoost,validation,5,12,0.446608334762361,0.4166666666666667
CatBoost,validation,6,5,0.5357277270840222,0.2
CatBoost,validation,7,3,0.6102220186937608,0.3333333333333333
CatBoost,test,1,6598,0.07246892279439128,0.061685359199757504
CatBoost,test,2,3674,0.13714042986832897,0.11404463799673381
CatBoost,test,3,480,0.22824984228044004,0.22083333333333333
CatBoost,test,4,45,0.33632666357261415,0.24444444444444444
CatBoost,test,5,14,0.4430233176516246,0.14285714285714285
CatBoost,test,6,8,0.5359255438316677,0.25
CatBoost,test,7,3,0.6373182994752303,0.6666666666666666
